"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-worker-2",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output nbt_cidd_2.csv",,,,"Date:","26 Sep 2019 07:24:50 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
26-09 07:42:34,0.500,0.500,99.0,0.0,0.0,0.0,748777472.0,11882496.0,985686016.0,2396979200.0,1048576.0,0.0,173.0,860.0,4.0,0.0,java / 1048576:0
26-09 07:42:35,0.0,0.0,99.495,0.505,0.0,0.0,748744704.0,11882496.0,985686016.0,2397011968.0,1048576.0,0.0,426.0,1978.0,4.0,0.0,java / 1048576:0
26-09 07:42:36,0.500,0.0,99.0,0.500,0.0,0.0,748744704.0,11882496.0,985686016.0,2397011968.0,1048576.0,0.0,239.0,946.0,4.0,0.0,java / 1048576:0
26-09 07:42:37,0.500,0.500,99.0,0.0,0.0,0.0,748212224.0,11882496.0,986595328.0,2396635136.0,1048576.0,0.0,239.0,946.0,4.0,0.0,java / 1048576:0
26-09 07:42:38,0.0,0.0,100.0,0.0,0.0,0.0,748085248.0,11882496.0,986595328.0,2396762112.0,1048576.0,0.0,348.0,1492.0,4.0,0.0,java / 1048576:0
26-09 07:42:39,0.495,0.495,97.030,1.980,0.0,0.0,748044288.0,11890688.0,986595328.0,2396794880.0,1048576.0,12288.0,173.0,852.0,4.0,2.0,java / 1048576:0
26-09 07:42:40,0.503,0.0,99.497,0.0,0.0,0.0,748044288.0,11890688.0,986595328.0,2396794880.0,1048576.0,0.0,239.0,962.0,4.0,0.0,java / 1048576:0
26-09 07:42:41,0.0,0.503,99.497,0.0,0.0,0.0,748044288.0,11890688.0,986595328.0,2396794880.0,1048576.0,0.0,282.0,1398.0,4.0,0.0,java / 1048576:0
26-09 07:42:42,0.500,0.0,99.0,0.500,0.0,0.0,748011520.0,11890688.0,986595328.0,2396827648.0,1048576.0,0.0,317.0,1432.0,4.0,0.0,java / 1048576:0
26-09 07:42:43,0.0,0.503,98.492,1.005,0.0,0.0,747753472.0,11890688.0,986599424.0,2397081600.0,1048576.0,0.0,317.0,1432.0,4.0,0.0,java / 1048576:0
26-09 07:42:44,0.0,0.500,99.500,0.0,0.0,0.0,748077056.0,11890688.0,986243072.0,2397114368.0,671744.0,0.0,348.0,1492.0,3.0,0.0,java / 671744:0
26-09 07:42:45,0.505,0.0,98.485,1.010,0.0,0.0,748023808.0,11898880.0,986669056.0,2396733440.0,1474560.0,12288.0,173.0,852.0,12.0,2.0,java / 1474560:0
26-09 07:42:46,0.0,0.0,100.0,0.0,0.0,0.0,747991040.0,11898880.0,986701824.0,2396733440.0,1048576.0,0.0,239.0,962.0,4.0,0.0,java / 1048576:0
26-09 07:42:47,0.0,0.500,98.500,1.0,0.0,0.0,747745280.0,11898880.0,986660864.0,2397020160.0,1114112.0,81920.0,324.0,1440.0,5.0,11.0,java / 1114112:0
26-09 07:42:48,0.500,0.500,98.500,0.500,0.0,0.0,748204032.0,11919360.0,986689536.0,2396512256.0,1069056.0,0.0,239.0,962.0,9.0,0.0,java / 1048576:0
26-09 07:42:49,0.500,0.500,98.500,0.500,0.0,0.0,748023808.0,11919360.0,986710016.0,2396672000.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:42:50,0.500,0.500,93.500,5.500,0.0,0.0,748150784.0,11931648.0,986697728.0,2396545024.0,1048576.0,98304.0,282.0,1398.0,4.0,3.0,java / 1048576:0
26-09 07:42:51,0.0,0.500,98.500,1.0,0.0,0.0,748171264.0,11931648.0,986841088.0,2396381184.0,1179648.0,0.0,785107.0,962.0,5.0,0.0,java / 1179648:0
26-09 07:42:52,0.503,0.0,99.497,0.0,0.0,0.0,748167168.0,11931648.0,986845184.0,2396381184.0,1048576.0,3969024.0,173.0,852.0,4.0,5.0,java / 1048576:0
26-09 07:42:53,0.0,0.503,99.497,0.0,0.0,0.0,748142592.0,11931648.0,986583040.0,2396667904.0,786432.0,0.0,282.0,1406.0,3.0,0.0,java / 786432:0
26-09 07:42:54,0.990,0.495,98.020,0.495,0.0,0.0,748142592.0,11931648.0,986583040.0,2396667904.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:42:55,0.0,0.500,99.0,0.500,0.0,0.0,748142592.0,11931648.0,986583040.0,2396667904.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:42:56,0.0,1.0,97.0,2.0,0.0,0.0,748097536.0,11943936.0,986583040.0,2396700672.0,1048576.0,61440.0,348.0,1492.0,4.0,2.0,java / 1048576:0
26-09 07:42:57,0.0,0.0,100.0,0.0,0.0,0.0,748097536.0,11943936.0,986583040.0,2396700672.0,1048576.0,28672.0,173.0,860.0,4.0,4.0,java / 1048576:8192
26-09 07:42:58,0.995,0.0,99.005,0.0,0.0,0.0,748097536.0,11943936.0,986583040.0,2396700672.0,1048576.0,0.0,239.0,970.0,4.0,0.0,java / 1048576:0
26-09 07:42:59,0.0,0.505,99.495,0.0,0.0,0.0,748003328.0,11943936.0,986771456.0,2396606464.0,1179648.0,0.0,282.0,1398.0,5.0,0.0,java / 1179648:8192
26-09 07:43:00,0.495,0.495,98.515,0.495,0.0,0.0,748003328.0,11943936.0,986771456.0,2396606464.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:43:01,0.505,0.0,98.990,0.505,0.0,0.0,747995136.0,11952128.0,986771456.0,2396606464.0,1048576.0,20480.0,239.0,946.0,4.0,2.0,java / 1048576:0
26-09 07:43:02,1.0,0.0,99.0,0.0,0.0,0.0,747962368.0,11952128.0,986771456.0,2396639232.0,1048576.0,0.0,282.0,1472.0,4.0,0.0,java / 1048576:0
26-09 07:43:03,0.0,0.503,99.497,0.0,0.0,0.0,748081152.0,11952128.0,986714112.0,2396577792.0,1048576.0,0.0,569.0,2094.0,4.0,0.0,java / 1048576:0
26-09 07:43:04,0.500,0.0,99.0,0.500,0.0,0.0,747954176.0,11952128.0,986714112.0,2396704768.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:43:05,0.498,0.498,99.005,0.0,0.0,0.0,747954176.0,11952128.0,986714112.0,2396704768.0,1048576.0,0.0,282.0,1398.0,4.0,0.0,java / 1048576:0
26-09 07:43:06,0.503,0.0,98.995,0.503,0.0,0.0,747913216.0,11960320.0,986714112.0,2396737536.0,1048576.0,12288.0,239.0,946.0,4.0,2.0,java / 1048576:0
26-09 07:43:07,0.0,0.503,99.497,0.0,0.0,0.0,747913216.0,11960320.0,986714112.0,2396737536.0,1048576.0,0.0,173.0,860.0,4.0,0.0,java / 1048576:0
26-09 07:43:08,0.990,0.495,98.515,0.0,0.0,0.0,747913216.0,11960320.0,986714112.0,2396737536.0,1048576.0,0.0,282.0,1398.0,4.0,0.0,java / 1048576:0
26-09 07:43:09,1.0,0.0,98.500,0.500,0.0,0.0,747880448.0,11960320.0,986714112.0,2396770304.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:43:10,0.500,0.0,99.500,0.0,0.0,0.0,747880448.0,11960320.0,986714112.0,2396770304.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:43:11,0.0,0.0,99.492,0.508,0.0,0.0,747999232.0,11968512.0,986714112.0,2396643328.0,1048576.0,12288.0,348.0,1492.0,4.0,2.0,java / 1048576:0
26-09 07:43:12,0.495,0.495,98.515,0.495,0.0,0.0,747966464.0,11968512.0,986714112.0,2396676096.0,1048576.0,0.0,173.0,860.0,4.0,0.0,java / 1048576:0
26-09 07:43:13,1.005,0.0,98.492,0.503,0.0,0.0,747966464.0,11968512.0,986714112.0,2396676096.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:43:14,0.500,0.0,99.0,0.500,0.0,0.0,747966464.0,11968512.0,986714112.0,2396676096.0,1048576.0,0.0,282.0,1398.0,4.0,0.0,java / 1048576:0
26-09 07:43:15,0.503,0.503,98.995,0.0,0.0,0.0,748302336.0,11968512.0,986902528.0,2396151808.0,1179648.0,0.0,173.0,852.0,5.0,0.0,java / 1179648:0
26-09 07:43:16,0.500,0.0,97.0,2.500,0.0,0.0,748126208.0,11976704.0,986902528.0,2396319744.0,1048576.0,28672.0,239.0,946.0,4.0,2.0,java / 1048576:0
26-09 07:43:17,0.0,0.503,97.487,2.010,0.0,0.0,747999232.0,11976704.0,986902528.0,2396446720.0,1048576.0,0.0,282.0,1406.0,4.0,0.0,java / 1048576:0
26-09 07:43:18,0.0,0.503,99.497,0.0,0.0,0.0,747843584.0,11976704.0,986898432.0,2396606464.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:43:19,0.503,0.0,99.497,0.0,0.0,0.0,748150784.0,11976704.0,986845184.0,2396352512.0,1048576.0,0.0,239.0,946.0,4.0,0.0,java / 1048576:0
26-09 07:43:20,0.498,0.498,98.507,0.498,0.0,0.0,747991040.0,11976704.0,986845184.0,2396512256.0,1048576.0,0.0,426.0,1978.0,4.0,0.0,java / 1048576:0
26-09 07:43:21,0.0,0.0,99.495,0.505,0.0,0.0,747978752.0,11984896.0,986849280.0,2396512256.0,1048576.0,12288.0,239.0,946.0,4.0,2.0,java / 1048576:0
26-09 07:43:22,1.0,0.0,99.0,0.0,0.0,0.0,748113920.0,11984896.0,986587136.0,2396639232.0,786432.0,122880.0,239.0,962.0,3.0,21.0,java / 786432:0
26-09 07:43:23,0.503,0.0,98.995,0.503,0.0,0.0,748507136.0,11984896.0,986587136.0,2396246016.0,1048576.0,0.0,348.0,1508.0,4.0,0.0,java / 1048576:0
26-09 07:43:24,0.500,0.0,99.0,0.500,0.0,0.0,748507136.0,11984896.0,986587136.0,2396246016.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:43:25,0.0,0.503,99.497,0.0,0.0,0.0,748507136.0,11984896.0,986587136.0,2396246016.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:43:26,0.498,0.498,97.015,1.990,0.0,0.0,748466176.0,11993088.0,986587136.0,2396278784.0,1048576.0,28672.0,348.0,1492.0,4.0,3.0,java / 1048576:0
26-09 07:43:27,0.505,0.0,99.495,0.0,0.0,0.0,748466176.0,11993088.0,986587136.0,2396278784.0,1048576.0,28672.0,317.0,1464.0,4.0,4.0,java / 1048576:8192
26-09 07:43:28,0.990,0.0,98.515,0.495,0.0,0.0,748433408.0,11993088.0,986587136.0,2396311552.0,1048576.0,0.0,173.0,868.0,4.0,0.0,java / 1048576:0
26-09 07:43:29,0.500,0.500,99.0,0.0,0.0,0.0,748433408.0,11993088.0,986587136.0,2396311552.0,1048576.0,0.0,426.0,1978.0,4.0,0.0,java / 1048576:8192
26-09 07:43:30,0.0,0.503,99.497,0.0,0.0,0.0,748331008.0,11993088.0,986689536.0,2396311552.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:43:31,0.498,0.498,97.015,1.990,0.0,0.0,748331008.0,12001280.0,986775552.0,2396217344.0,1179648.0,20480.0,239.0,946.0,5.0,2.0,java / 1179648:0
26-09 07:43:32,0.995,0.498,98.010,0.498,0.0,0.0,748331008.0,12001280.0,986775552.0,2396217344.0,1048576.0,0.0,348.0,1508.0,4.0,0.0,java / 1048576:0
26-09 07:43:33,0.500,0.500,99.0,0.0,0.0,0.0,748298240.0,12001280.0,986775552.0,2396250112.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:43:34,0.503,0.0,99.497,0.0,0.0,0.0,748351488.0,12001280.0,986722304.0,2396250112.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:43:35,0.0,0.500,99.0,0.500,0.0,0.0,748257280.0,12001280.0,986849280.0,2396217344.0,1048576.0,0.0,282.0,1398.0,4.0,0.0,java / 1048576:0
26-09 07:43:36,0.503,0.0,97.990,1.508,0.0,0.0,748425216.0,12009472.0,986705920.0,2396184576.0,1048576.0,12288.0,281.0,988.0,4.0,2.0,java / 1048576:0
26-09 07:43:37,0.500,0.500,98.500,0.500,0.0,0.0,748425216.0,12009472.0,986705920.0,2396184576.0,1048576.0,0.0,239.0,962.0,4.0,0.0,java / 1048576:0
26-09 07:43:38,0.0,0.0,100.0,0.0,0.0,0.0,748392448.0,12009472.0,986705920.0,2396217344.0,1048576.0,0.0,348.0,1492.0,4.0,0.0,java / 1048576:0
26-09 07:43:39,0.500,0.0,99.500,0.0,0.0,0.0,748392448.0,12009472.0,986705920.0,2396217344.0,1048576.0,0.0,239.0,946.0,4.0,0.0,java / 1048576:0
26-09 07:43:40,0.0,0.500,99.0,0.500,0.0,0.0,748392448.0,12009472.0,986705920.0,2396217344.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:43:41,0.503,0.503,98.492,0.503,0.0,0.0,748351488.0,12017664.0,986705920.0,2396250112.0,1048576.0,12288.0,348.0,1492.0,4.0,2.0,java / 1048576:0
26-09 07:43:42,0.500,0.0,99.0,0.500,0.0,0.0,748351488.0,12017664.0,986705920.0,2396250112.0,1048576.0,0.0,173.0,860.0,4.0,0.0,java / 1048576:0
26-09 07:43:43,0.503,0.0,99.497,0.0,0.0,0.0,748351488.0,12017664.0,986705920.0,2396250112.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:43:44,0.0,0.500,99.0,0.500,0.0,0.0,748318720.0,12017664.0,986705920.0,2396282880.0,1048576.0,0.0,282.0,1464.0,4.0,0.0,java / 1048576:0
26-09 07:43:45,0.503,0.0,99.497,0.0,0.0,0.0,748285952.0,12017664.0,986705920.0,2396315648.0,1048576.0,0.0,569.0,2094.0,4.0,0.0,java / 1048576:0
26-09 07:43:46,0.0,0.500,98.500,1.0,0.0,0.0,748277760.0,12025856.0,986705920.0,2396315648.0,1048576.0,12288.0,239.0,946.0,4.0,2.0,java / 1048576:0
26-09 07:43:47,0.503,0.0,99.497,0.0,0.0,0.0,747966464.0,12025856.0,987017216.0,2396315648.0,1179648.0,0.0,282.0,1406.0,5.0,0.0,java / 1179648:0
26-09 07:43:48,0.0,0.503,98.995,0.503,0.0,0.0,748068864.0,12025856.0,986931200.0,2396299264.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:43:49,0.0,0.498,99.005,0.498,0.0,0.0,748064768.0,12025856.0,986935296.0,2396299264.0,1048576.0,0.0,239.0,946.0,4.0,0.0,java / 1048576:0
26-09 07:43:50,0.503,0.0,99.497,0.0,0.0,0.0,748371968.0,12025856.0,986628096.0,2396299264.0,786432.0,0.0,282.0,1398.0,3.0,0.0,java / 786432:0
26-09 07:43:51,0.500,0.500,98.500,0.500,0.0,0.0,747909120.0,12034048.0,986669056.0,2396712960.0,1048576.0,12288.0,239.0,946.0,4.0,2.0,java / 1048576:0
26-09 07:43:52,0.0,0.503,99.497,0.0,0.0,0.0,748457984.0,12034048.0,986578944.0,2396254208.0,1048576.0,0.0,173.0,860.0,4.0,0.0,java / 1048576:0
26-09 07:43:53,0.0,0.498,99.005,0.498,0.0,0.0,748457984.0,12034048.0,986578944.0,2396254208.0,1048576.0,0.0,282.0,1398.0,4.0,0.0,java / 1048576:0
26-09 07:43:54,1.0,0.0,99.0,0.0,0.0,0.0,748425216.0,12034048.0,986578944.0,2396286976.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:43:55,0.0,0.500,99.500,0.0,0.0,0.0,748425216.0,12034048.0,986578944.0,2396286976.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:43:56,0.503,0.0,98.492,1.005,0.0,0.0,748941312.0,12042240.0,986578944.0,2395762688.0,1048576.0,12288.0,785587.0,1492.0,4.0,2.0,java / 1048576:0
26-09 07:43:57,0.503,0.0,99.497,0.0,0.0,0.0,748810240.0,12042240.0,986578944.0,2395893760.0,1048576.0,45056.0,173.0,860.0,4.0,7.0,java / 1048576:8192
26-09 07:43:58,0.0,0.503,98.492,1.005,0.0,0.0,748810240.0,12042240.0,986578944.0,2395893760.0,1048576.0,0.0,173.0,868.0,4.0,0.0,java / 1048576:0
26-09 07:43:59,0.500,0.0,99.500,0.0,0.0,0.0,748810240.0,12042240.0,986578944.0,2395893760.0,1048576.0,0.0,282.0,1398.0,4.0,0.0,java / 1048576:8192
26-09 07:44:00,0.498,0.498,98.507,0.498,0.0,0.0,748810240.0,12042240.0,986578944.0,2395893760.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:44:01,0.0,0.0,98.990,1.010,0.0,0.0,748769280.0,12050432.0,986578944.0,2395926528.0,1048576.0,36864.0,239.0,946.0,4.0,3.0,java / 1048576:0
26-09 07:44:02,0.500,0.500,99.0,0.0,0.0,0.0,748281856.0,12050432.0,986685440.0,2396307456.0,1048576.0,0.0,282.0,1406.0,4.0,0.0,java / 1048576:0
26-09 07:44:03,0.0,0.500,99.500,0.0,0.0,0.0,748621824.0,12050432.0,986775552.0,2395877376.0,1179648.0,0.0,173.0,852.0,5.0,0.0,java / 1179648:0
26-09 07:44:04,0.498,0.498,98.507,0.498,0.0,0.0,748560384.0,12050432.0,986804224.0,2395910144.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:44:05,0.0,0.503,99.497,0.0,0.0,0.0,748560384.0,12050432.0,986804224.0,2395910144.0,1048576.0,0.0,282.0,1398.0,4.0,0.0,java / 1048576:0
26-09 07:44:06,0.0,0.0,99.495,0.505,0.0,0.0,748142592.0,12058624.0,986800128.0,2396323840.0,1048576.0,12288.0,317.0,1432.0,4.0,2.0,java / 1048576:0
26-09 07:44:07,0.498,0.498,98.010,0.995,0.0,0.0,748691456.0,12058624.0,986710016.0,2395865088.0,1048576.0,0.0,239.0,962.0,4.0,0.0,java / 1048576:0
26-09 07:44:08,0.498,0.498,98.507,0.498,0.0,0.0,748691456.0,12058624.0,986710016.0,2395865088.0,1048576.0,0.0,348.0,1492.0,4.0,0.0,java / 1048576:0
26-09 07:44:09,0.503,0.0,99.497,0.0,0.0,0.0,748658688.0,12058624.0,986710016.0,2395897856.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:44:10,0.0,0.503,99.497,0.0,0.0,0.0,748658688.0,12058624.0,986710016.0,2395897856.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:44:11,0.498,0.498,97.512,1.493,0.0,0.0,748650496.0,12066816.0,986710016.0,2395897856.0,1048576.0,12288.0,348.0,1492.0,4.0,2.0,java / 1048576:0
26-09 07:44:12,0.503,0.0,99.497,0.0,0.0,0.0,748617728.0,12066816.0,986710016.0,2395930624.0,1048576.0,0.0,173.0,860.0,4.0,0.0,java / 1048576:0
26-09 07:44:13,0.500,0.0,99.0,0.500,0.0,0.0,748617728.0,12066816.0,986710016.0,2395930624.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:44:14,2.010,0.0,97.990,0.0,0.0,0.0,748617728.0,12066816.0,986710016.0,2395930624.0,1048576.0,0.0,282.0,1398.0,4.0,0.0,java / 1048576:4096
26-09 07:44:15,0.0,0.995,99.005,0.0,0.0,0.0,748584960.0,12066816.0,986710016.0,2395963392.0,1048576.0,0.0,341.0,1020.0,4.0,0.0,java / 1048576:0
26-09 07:44:16,0.500,0.500,98.500,0.500,0.0,0.0,748482560.0,12075008.0,986710016.0,2396057600.0,1048576.0,16384.0,239.0,946.0,4.0,2.0,java / 1048576:0
26-09 07:44:17,0.0,0.0,100.0,0.0,0.0,0.0,748523520.0,12075008.0,986714112.0,2396012544.0,1048576.0,0.0,282.0,1406.0,4.0,0.0,java / 1048576:0
26-09 07:44:18,0.0,0.500,98.500,1.0,0.0,0.0,748212224.0,12075008.0,986771456.0,2396266496.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:44:19,0.500,0.500,99.0,0.0,0.0,0.0,748572672.0,12075008.0,986750976.0,2395926528.0,917504.0,0.0,173.0,852.0,4.0,0.0,java / 917504:0
26-09 07:44:20,0.500,0.0,99.0,0.500,0.0,0.0,748589056.0,12075008.0,986677248.0,2395983872.0,1048576.0,0.0,348.0,1492.0,4.0,0.0,java / 1048576:0
26-09 07:44:21,0.503,0.0,98.995,0.503,0.0,0.0,748568576.0,12083200.0,986677248.0,2395996160.0,1048576.0,12288.0,317.0,1432.0,4.0,2.0,java / 1048576:0
26-09 07:44:22,0.498,0.498,99.005,0.0,0.0,0.0,748294144.0,12083200.0,986570752.0,2396377088.0,1048576.0,0.0,173.0,860.0,4.0,0.0,java / 1048576:0
26-09 07:44:23,0.503,0.0,99.497,0.0,0.0,0.0,748556288.0,12083200.0,986734592.0,2395951104.0,1048576.0,0.0,282.0,1398.0,4.0,0.0,java / 1048576:0
26-09 07:44:24,0.500,1.0,98.0,0.500,0.0,0.0,748507136.0,12083200.0,986734592.0,2396000256.0,1048576.0,0.0,7536.0,3729678.0,4.0,0.0,java / 1048576:0
26-09 07:44:25,1.500,1.0,97.500,0.0,0.0,0.0,748408832.0,12083200.0,986734592.0,2396098560.0,1048576.0,0.0,6155.0,3890110.0,4.0,0.0,java / 1048576:0
26-09 07:44:26,1.015,0.0,97.970,1.015,0.0,0.0,748400640.0,12091392.0,986734592.0,2396098560.0,1048576.0,12288.0,6156.0,3947684.0,4.0,2.0,java / 1048576:0
26-09 07:44:27,1.005,0.503,98.492,0.0,0.0,0.0,748302336.0,12091392.0,986734592.0,2396196864.0,1048576.0,32768.0,7151.0,4086752.0,4.0,3.0,java / 1048576:8192
26-09 07:44:28,0.498,0.498,97.015,1.493,0.0,0.498,748335104.0,12091392.0,986734592.0,2396164096.0,1048576.0,0.0,6209.0,3562166.0,4.0,0.0,java / 1048576:0
26-09 07:44:29,0.503,0.503,98.995,0.0,0.0,0.0,748335104.0,12091392.0,986734592.0,2396164096.0,1048576.0,0.0,6060.0,3989956.0,5.0,0.0,java / 1048576:8192
26-09 07:44:30,0.500,0.500,99.0,0.0,0.0,0.0,748269568.0,12091392.0,986734592.0,2396229632.0,1048576.0,0.0,5717.0,3998650.0,4.0,0.0,java / 1048576:0
26-09 07:44:31,0.505,0.0,98.485,1.010,0.0,0.0,747827200.0,12099584.0,987643904.0,2395754496.0,1048576.0,20480.0,5777.0,3587688.0,4.0,2.0,java / 1048576:0
26-09 07:44:32,0.0,1.005,97.990,1.005,0.0,0.0,747794432.0,12099584.0,987643904.0,2395787264.0,1048576.0,16384.0,5994.0,3627776.0,4.0,3.0,java / 1048576:0
26-09 07:44:33,0.503,1.005,97.487,1.005,0.0,0.0,748158976.0,12107776.0,987693056.0,2395365376.0,1048576.0,40960.0,6173.0,3910812.0,4.0,4.0,java / 1048576:0
26-09 07:44:34,0.503,0.503,98.995,0.0,0.0,0.0,748294144.0,12107776.0,987643904.0,2395279360.0,1048576.0,0.0,6161.0,3765450.0,4.0,0.0,java / 1048576:0
26-09 07:44:35,0.503,0.503,98.492,0.503,0.0,0.0,748359680.0,12107776.0,987643904.0,2395213824.0,1048576.0,0.0,7104.0,4084665.0,4.0,0.0,java / 1048576:0
26-09 07:44:36,1.0,0.500,97.500,1.0,0.0,0.0,748339200.0,12107776.0,987664384.0,2395213824.0,1069056.0,0.0,6545.0,4221676.0,5.0,0.0,java / 1069056:0
26-09 07:44:37,1.005,0.503,98.492,0.0,0.0,0.0,748240896.0,12107776.0,987664384.0,2395312128.0,1048576.0,0.0,6137.0,4192209.0,4.0,0.0,java / 1048576:0
26-09 07:44:38,0.503,0.503,98.995,0.0,0.0,0.0,748306432.0,12107776.0,987664384.0,2395246592.0,1048576.0,0.0,5538.0,3826156.0,4.0,0.0,java / 1048576:0
26-09 07:44:39,0.0,0.505,98.485,1.010,0.0,0.0,748298240.0,12115968.0,987664384.0,2395246592.0,1048576.0,16384.0,5501.0,3771388.0,4.0,2.0,java / 1048576:0
26-09 07:44:40,0.503,0.503,98.492,0.503,0.0,0.0,748232704.0,12115968.0,987664384.0,2395312128.0,1048576.0,0.0,5345.0,3706768.0,4.0,0.0,java / 1048576:0
26-09 07:44:41,0.0,0.505,99.495,0.0,0.0,0.0,748298240.0,12115968.0,987664384.0,2395246592.0,1048576.0,0.0,5364.0,3691354.0,4.0,0.0,java / 1048576:0
26-09 07:44:42,0.0,0.503,98.995,0.503,0.0,0.0,748298240.0,12115968.0,987664384.0,2395246592.0,1048576.0,0.0,5147.0,3578834.0,4.0,0.0,java / 1048576:0
26-09 07:44:43,1.0,0.500,98.500,0.0,0.0,0.0,748232704.0,12115968.0,987664384.0,2395312128.0,1048576.0,0.0,6353.0,3691356.0,4.0,0.0,java / 1048576:0
26-09 07:44:44,0.505,0.0,98.485,1.010,0.0,0.0,747880448.0,12124160.0,987725824.0,2395594752.0,1048576.0,12288.0,5718.0,3745253.0,4.0,2.0,java / 1048576:0
26-09 07:44:45,0.0,0.0,100.0,0.0,0.0,0.0,748453888.0,12124160.0,987725824.0,2395021312.0,1048576.0,0.0,5729.0,3586342.0,4.0,0.0,java / 1048576:0
26-09 07:44:46,0.505,0.0,99.495,0.0,0.0,0.0,748195840.0,12124160.0,987725824.0,2395279360.0,1048576.0,0.0,5321.0,3684987.0,4.0,0.0,java / 1048576:0
26-09 07:44:47,1.0,0.500,98.0,0.0,0.0,0.500,748261376.0,12124160.0,987725824.0,2395213824.0,1048576.0,0.0,5760.0,3615945.0,4.0,0.0,java / 1048576:0
26-09 07:44:48,0.503,0.503,98.995,0.0,0.0,0.0,748261376.0,12124160.0,987406336.0,2395533312.0,786432.0,0.0,5189.0,3659976.0,3.0,0.0,java / 786432:0
26-09 07:44:49,1.0,0.0,97.500,1.500,0.0,0.0,748412928.0,12132352.0,987406336.0,2395373568.0,1048576.0,12288.0,6059.0,3843824.0,4.0,2.0,java / 1048576:0
26-09 07:44:50,1.005,0.503,98.492,0.0,0.0,0.0,748285952.0,12132352.0,987406336.0,2395500544.0,1048576.0,0.0,5928.0,3573331.0,4.0,0.0,java / 1048576:0
26-09 07:44:51,0.0,1.0,99.0,0.0,0.0,0.0,748187648.0,12132352.0,987406336.0,2395598848.0,1048576.0,0.0,6053.0,3734878.0,4.0,0.0,java / 1048576:0
26-09 07:44:52,0.503,0.503,98.492,0.503,0.0,0.0,748220416.0,12132352.0,987406336.0,2395566080.0,1048576.0,0.0,5849.0,3719455.0,4.0,0.0,java / 1048576:0
26-09 07:44:53,0.505,0.0,99.495,0.0,0.0,0.0,748191744.0,12132352.0,987406336.0,2395594752.0,933888.0,0.0,5916.0,3621847.0,4.0,0.0,java / 933888:0
26-09 07:44:54,0.500,0.500,98.0,1.0,0.0,0.0,748142592.0,12140544.0,987574272.0,2395467776.0,1212416.0,12288.0,5783.0,3694614.0,11.0,2.0,java / 1212416:0
26-09 07:44:55,1.0,0.500,98.500,0.0,0.0,0.0,748195840.0,12140544.0,987455488.0,2395533312.0,1048576.0,0.0,5849.0,3761591.0,4.0,0.0,java / 1048576:0
26-09 07:44:56,0.505,0.0,98.485,1.010,0.0,0.0,748322816.0,12140544.0,987521024.0,2395340800.0,1114112.0,0.0,5760.0,3591456.0,5.0,0.0,java / 1114112:0
26-09 07:44:57,0.0,1.005,98.995,0.0,0.0,0.0,748322816.0,12140544.0,987521024.0,2395340800.0,1048576.0,28672.0,5915.0,3699243.0,4.0,4.0,java / 1048576:8192
